iter	Passed	Remaining
0	6	6153
1	11	5895
2	17	5765
3	22	5694
4	28	5690
5	34	5778
6	40	5732
7	46	5720
8	51	5671
9	60	5972
10	65	5903
11	71	5905
12	76	5811
13	79	5610
14	85	5601
15	105	6474116	113	6551717	121	6601818	127	6573
19	133	6546
20	139	6517
21	146	6513
22	153	6504
23	159	6486
24	165	6465
25	172	6454
26	179	6465
27	186	6467
28	192	6439
29	197	6401
30	203	6371
31	209	6326
32	215	6311
33	222	6321
34	230	6363
35	237	6369
36	245	6401
37	252	6403
38	259	6387
39	265	6380
40	272	6371
41	279	6364
42	285	6359
43	292	6363
44	298	6340
45	306	6346
46	313	6353
47	319	6334
48	325	6311
49	331	6295
50	337	6275
51	342	6252
52	348	6235
53	355	6220
54	361	6202
55	366	6184
56	374	6193
57	380	6185
58	387	6180
59	393	6163
60	399	6150
61	406	6151
62	412	6128
63	418	6120
64	424	6111
65	431	6103
66	438	6107
67	445	6102
68	451	6090
69	457	6074
70	463	6059
71	469	6057
72	475	6042
73	481	6031
74	487	6010
75	493	6001
76	500	6005
77	508	6008
78	515	6005
79	521	5994
80	527	5983
81	533	5970
82	539	5962
83	546	5955
84	553	5954
85	560	5952
86	567	5954
87	575	5963
88	581	5954
89	588	5950
90	594	5940
91	600	5928
92	607	5925
93	613	5913
94	620	5910
95	627	5905
96	634	5903
97	641	5904
98	648	5901
99	654	5893
100	660	5877
101	666	5870
102	673	5866
103	681	5868
104	687	5864
105	694	5861
106	703	5868
107	710	5867
108	716	5856
109	722	5846
110	728	5836
111	734	5825
112	740	5816
113	747	5810
114	754	5805
115	761	5800
116	768	5797
117	774	5786
118	780	5776
119	786	5765
120	792	5755
121	798	5746
122	804	5735
123	810	5727
124	817	5724
125	825	5724
126	833	5731
127	840	5725
128	846	5716
129	852	5706
130	859	5702
131	866	5698
132	873	5695
133	880	5690
134	887	5685
135	896	5692
136	903	5694
137	912	5698
138	919	5694
139	926	5691
140	932	5683
141	940	5681
142	946	5671
143	953	5669
144	961	5668
145	968	5665
146	975	5659
147	981	5651
148	988	5645
149	995	5639
150	1002	5635
151	1009	5631
152	1016	5625
153	1025	5636
154	1034	5639
155	1041	5634
156	1048	5628
157	1055	5623
158	1062	5619
159	1071	5622
160	1077	5617
161	1086	5618
162	1093	5616
163	1102	5620
164	1110	5619
165	1118	5616
166	1124	5610
167	1131	5602
168	1137	5592
169	1143	5585
170	1151	5582
171	1158	5576
172	1165	5572
173	1172	5564
174	1178	5557
175	1184	5544
176	1189	5532
177	1198	5534
178	1205	5531
179	1215	5537
180	1228	5557
181	1241	5579
182	1248	5574
183	1259	5584
184	1267	5584
185	1274	5577
186	1280	5568
187	1287	5562
188	1295	5559
189	1303	5557
190	1309	5548
191	1316	5539
192	1322	5529
193	1329	5522
194	1335	5514
195	1341	5504
196	1348	5498
197	1357	5497
198	1364	5493
199	1373	5493
200	1380	5485
201	1386	5475
202	1392	5466
203	1398	5458
204	1405	5450
205	1411	5440
206	1417	5430
207	1425	5426
208	1432	5420
209	1438	5411
210	1444	5402
211	1451	5394
212	1457	5383
213	1463	5374
214	1470	5369
215	1476	5360
216	1484	5356
217	1493	5356
218	1500	5351
219	1506	5339
220	1511	5328
221	1518	5320
222	1524	5312
223	1531	5304
224	1537	5296
225	1544	5290
226	1552	5285
227	1559	5279
228	1565	5271
229	1572	5266
230	1579	5258
231	1587	5254
232	1595	5250
233	1601	5242
234	1608	5235
235	1615	5228
236	1621	5220
237	1628	5213
238	1634	5205
239	1641	5199
240	1648	5192
241	1654	5183
242	1661	5175
243	1667	5166
244	1674	5161
245	1682	5156
246	1689	5149
247	1695	5142
248	1702	5135
249	1708	5126
250	1714	5117
251	1720	5108
252	1727	5100
253	1733	5092
254	1740	5084
255	1748	5080
256	1754	5072
257	1761	5065
258	1767	5057
259	1774	5050
260	1781	5044
261	1787	5034
262	1792	5023
263	1798	5012
264	1804	5005
265	1811	4999
266	1819	4994
267	1825	4987
268	1831	4977
269	1837	4969
270	1843	4959
271	1850	4952
272	1856	4943
273	1862	4934
274	1868	4925
275	1874	4917
276	1881	4911
277	1887	4902
278	1893	4893
279	1899	4884
280	1905	4875
281	1911	4867
282	1917	4857
283	1923	4850
284	1930	4842
285	1936	4835
286	1943	4827
287	1949	4819
288	1955	4811
289	1961	4802
290	1968	4795
291	1974	4786
292	1980	4778
293	1986	4770
294	1993	4763
295	2000	4757
296	2007	4750
297	2013	4743
298	2019	4734
299	2025	4727
300	2031	4718
301	2037	4709
302	2044	4702
303	2050	4694
304	2056	4685
305	2063	4679
306	2070	4673
307	2077	4666
308	2082	4658
309	2088	4648
310	2094	4639
311	2100	4631
312	2106	4623
313	2112	4614
314	2119	4608
315	2125	4601
316	2132	4594
317	2139	4588
318	2145	4580
319	2151	4572
320	2157	4564
321	2163	4556
322	2171	4551
323	2180	4548
324	2185	4539
325	2191	4531
326	2200	4528
327	2206	4520
328	2212	4513
329	2219	4505
330	2225	4498
331	2231	4490
332	2238	4483
333	2245	4477
334	2251	4470
335	2258	4463
336	2266	4458
337	2273	4452
338	2278	4443
339	2284	4434
340	2290	4425
341	2297	4420
342	2303	4411
343	2309	4403
344	2315	4395
345	2322	4389
346	2329	4383
347	2336	4376
348	2341	4367
349	2346	4358
350	2352	4349
351	2358	4341
352	2364	4333
353	2370	4325
354	2376	4317
355	2382	4309
356	2389	4303
357	2395	4296
358	2402	4289
359	2408	4281
360	2414	4273
361	2420	4265
362	2426	4257
363	2431	4248
364	2437	4241
365	2443	4232
366	2449	4225
367	2456	4219
368	2463	4212
369	2469	4205
370	2476	4198
371	2481	4189
372	2488	4182
373	2493	4174
374	2499	4166
375	2505	4158
376	2511	4151
377	2518	4144
378	2525	4137
379	2531	4130
380	2537	4122
381	2543	4114
382	2549	4106
383	2555	4099
384	2561	4091
385	2567	4083
386	2573	4077
387	2579	4068
388	2586	4062
389	2592	4055
390	2599	4048
391	2605	4041
392	2611	4033
393	2616	4024
394	2622	4016
395	2628	4009
396	2634	4002
397	2641	3995
398	2648	3989
399	2656	3984
400	2663	3978
401	2670	3972
402	2677	3966
403	2683	3958
404	2691	3953
405	2696	3945
406	2703	3939
407	2710	3932
408	2717	3927
409	2724	3920
410	2730	3912
411	2736	3905
412	2742	3898
413	2748	3890
414	2754	3883
415	2761	3876
416	2767	3869
417	2773	3861
418	2781	3856
419	2788	3851
420	2794	3843
421	2800	3836
422	2807	3828
423	2813	3821
424	2819	3814
425	2825	3807
426	2831	3800
427	2838	3793
428	2845	3787
429	2852	3781
430	2859	3775
431	2865	3767
432	2872	3761
433	2878	3754
434	2884	3746
435	2890	3739
436	2896	3731
437	2902	3723
438	2909	3718
439	2916	3712
440	2922	3704
441	2928	3696
442	2934	3689
443	2940	3682
444	2947	3675
445	2952	3668
446	2959	3661
447	2965	3654
448	2973	3648
449	2980	3642
450	2986	3635
451	2992	3628
452	2998	3620
453	3005	3614
454	3012	3607
455	3018	3601
456	3024	3593
457	3031	3587
458	3039	3582
459	3046	3575
460	3053	3570
461	3060	3563
462	3066	3556
463	3072	3549
464	3078	3541
465	3084	3534
466	3090	3527
467	3096	3519
468	3103	3513
469	3110	3507
470	3118	3502
471	3124	3494
472	3131	3488
473	3137	3482
474	3144	3475
475	3153	3471
476	3160	3465
477	3168	3459
478	3175	3454
479	3182	3447
480	3189	3441
481	3195	3434
482	3201	3427
483	3208	3420
484	3214	3412
485	3221	3407
486	3228	3400
487	3237	3396
488	3244	3390
489	3250	3383
490	3257	3376
491	3263	3369
492	3269	3362
493	3275	3355
494	3281	3347
495	3287	3340
496	3293	3332
497	3301	3327
498	3307	3321
499	3314	3314
500	3320	3307
501	3326	3300
502	3332	3293
503	3338	3285
504	3345	3278
505	3351	3271
506	3357	3264
507	3364	3258
508	3372	3253
509	3379	3247
510	3385	3240
511	3392	3233
512	3398	3226
513	3404	3219
514	3410	3211
515	3416	3204
516	3422	3197
517	3429	3191
518	3435	3184
519	3442	3177
520	3450	3172
521	3459	3167
522	3466	3161
523	3473	3155
524	3479	3147
525	3484	3140
526	3491	3133
527	3497	3126
528	3504	3120
529	3510	3113
530	3516	3106
531	3522	3099
532	3528	3091
533	3535	3084
534	3541	3077
535	3546	3070
536	3554	3064
537	3561	3058
538	3567	3051
539	3574	3044
540	3580	3038
541	3587	3031
542	3593	3023
543	3599	3016
544	3604	3009
545	3610	3002
546	3616	2995
547	3623	2988
548	3630	2982
549	3637	2975
550	3643	2968
551	3649	2961
552	3655	2955
553	3661	2947
554	3668	2941
555	3674	2933
556	3679	2926
557	3686	2920
558	3694	2914
559	3701	2907
560	3707	2901
561	3714	2894
562	3720	2888
563	3726	2880
564	3732	2873
565	3738	2866
566	3744	2859
567	3751	2853
568	3760	2848
569	3766	2841
570	3772	2834
571	3779	2827
572	3785	2821
573	3792	2814
574	3798	2807
575	3806	2801
576	3813	2795
577	3822	2790
578	3830	2785
579	3837	2778
580	3844	2772
581	3851	2766
582	3859	2760
583	3866	2754
584	3873	2748
585	3881	2742
586	3889	2736
587	3898	2731
588	3904	2724
589	3912	2718
590	3918	2711
591	3924	2704
592	3932	2698
593	3938	2691
594	3944	2684
595	3953	2679
596	3960	2673
597	3967	2667
598	3976	2661
599	3984	2656
600	3990	2649
601	3997	2642
602	4009	2639
603	4016	2633
604	4027	2629
605	4034	2623
606	4042	2617
607	4049	2610
608	4056	2604
609	4063	2597
610	4069	2590
611	4074	2583
612	4080	2576
613	4087	2569
614	4094	2563
615	4101	2556
616	4107	2549
617	4113	2542
618	4119	2535
619	4125	2528
620	4133	2522
621	4142	2517
622	4148	2510
623	4155	2504
624	4162	2497
625	4169	2490
626	4175	2483
627	4182	2477
628	4188	2470
629	4194	2463
630	4201	2457
631	4208	2450
632	4214	2443
633	4222	2437
634	4229	2431
635	4236	2424
636	4242	2417
637	4248	2410
638	4254	2403
639	4260	2396
640	4267	2389
641	4272	2382
642	4279	2375
643	4285	2369
644	4292	2362
645	4298	2355
646	4304	2348
647	4310	2341
648	4316	2334
649	4322	2327
650	4329	2320
651	4335	2314
652	4342	2307
653	4349	2300
654	4355	2294
655	4362	2287
656	4368	2280
657	4375	2274
658	4382	2267
659	4387	2260
660	4394	2253
661	4399	2246
662	4405	2239
663	4412	2232
664	4418	2226
665	4425	2219
666	4432	2212
667	4438	2205
668	4444	2199
669	4451	2192
670	4457	2185
671	4462	2178
672	4469	2171
673	4475	2164
674	4482	2158
675	4488	2151
676	4494	2144
677	4500	2137
678	4506	2130
679	4512	2123
680	4519	2116
681	4525	2110
682	4531	2103
683	4538	2096
684	4545	2090
685	4551	2083
686	4558	2076
687	4564	2069
688	4570	2063
689	4577	2056
690	4582	2049
691	4588	2042
692	4594	2035
693	4600	2028
694	4607	2021
695	4613	2015
696	4620	2008
697	4626	2001
698	4632	1994
699	4638	1987
700	4644	1980
701	4650	1974
702	4656	1967
703	4662	1960
704	4668	1953
705	4675	1947
706	4683	1940
707	4689	1934
708	4695	1927
709	4701	1920
710	4707	1913
711	4712	1906
712	4719	1899
713	4724	1892
714	4731	1885
715	4738	1879
716	4745	1872
717	4751	1866
718	4758	1859
719	4764	1852
720	4770	1846
721	4776	1839
722	4783	1832
723	4789	1825
724	4796	1819
725	4803	1812
726	4810	1806
727	4815	1799
728	4822	1792
729	4827	1785
730	4833	1778
731	4839	1772
732	4846	1765
733	4852	1758
734	4859	1751
735	4866	1745
736	4873	1739
737	4879	1732
738	4884	1725
739	4890	1718
740	4897	1711
741	4903	1704
742	4909	1698
743	4915	1691
744	4921	1684
745	4928	1678
746	4934	1671
747	4940	1664
748	4946	1657
749	4952	1650
750	4957	1643
751	4963	1636
752	4969	1629
753	4975	1623
754	4982	1616
755	4988	1610
756	4995	1603
757	5000	1596
758	5006	1589
759	5013	1583
760	5018	1576
761	5024	1569
762	5030	1562
763	5035	1555
764	5041	1548
765	5047	1541
766	5054	1535
767	5060	1528
768	5066	1521
769	5072	1515
770	5078	1508
771	5084	1501
772	5090	1494
773	5096	1488
774	5103	1481
775	5111	1475
776	5120	1469
777	5127	1463
778	5134	1456
779	5140	1449
780	5147	1443
781	5153	1436
782	5159	1429
783	5165	1423
784	5171	1416
785	5178	1409
786	5185	1403
787	5192	1397
788	5199	1390
789	5205	1383
790	5211	1376
791	5216	1370
792	5222	1363
793	5228	1356
794	5233	1349
795	5239	1342
796	5245	1336
797	5251	1329
798	5258	1322
799	5264	1316
800	5270	1309
801	5275	1302
802	5281	1295
803	5286	1288
804	5292	1282
805	5297	1275
806	5303	1268
807	5309	1261
808	5316	1255
809	5323	1248
810	5329	1242
811	5335	1235
812	5340	1228
813	5346	1221
814	5352	1214
815	5359	1208
816	5366	1202
817	5372	1195
818	5378	1188
819	5385	1182
820	5393	1175
821	5399	1169
822	5405	1162
823	5412	1156
824	5418	1149
825	5425	1142
826	5431	1136
827	5437	1129
828	5443	1122
829	5449	1116
830	5456	1109
831	5462	1102
832	5468	1096
833	5474	1089
834	5480	1082
835	5486	1076
836	5492	1069
837	5497	1062
838	5503	1056
839	5509	1049
840	5516	1042
841	5523	1036
842	5529	1029
843	5535	1023
844	5541	1016
845	5546	1009
846	5552	1003
847	5557	996
848	5564	989
849	5570	982
850	5576	976
851	5582	969
852	5589	963
853	5596	956
854	5602	950
